Period,Sub_Period,forecast,forecast_high_95,forecast_high_80,forecast_low_80,forecast_low_95
2016,1,261745.496316184,283745.628386406,276130.609470902,247360.383161466,239745.364245963
2016,2,253605.491510074,277702.30217195,269361.549107023,237849.433913125,229508.680848198
2016,3,295604.418380334,326597.459293475,315869.678567012,275339.158193655,264611.377467193
2016,4,278069.543818422,309723.457125073,298766.925236516,257372.162400329,246415.630511771
2016,5,315028.349929071,353514.506747706,340193.095256925,289863.604601218,276542.193110437
2016,6,322875.848262501,364840.262211941,350314.903683046,295436.792841957,280911.434313061
2016,7,325456.175250333,370152.752805516,354681.696429372,296230.654071293,280759.597695149
2016,8,284594.930060711,325669.881897945,311452.397466689,257737.462654733,243519.978223478
2016,9,248836.256025339,286410.586847224,273404.790380514,224267.721670164,211261.925203453
2016,10,241963.725510143,280047.183530145,266865.160246628,217062.290773658,203880.267490142
2016,11,252626.669944633,293941.141878134,279640.751123503,225612.588765762,211312.198011131
2016,12,256762.473592627,300275.032655757,285213.806692654,228311.1404926,213249.914529497
