Month,Year,Avg_Produce_Sales_per_Store
03,2012,282963.411515151
04,2012,268649.158787879
05,2012,314335.743636364
06,2012,324653.110606061
07,2012,317420.647878788
08,2012,282030.524242424
09,2012,237168.292121212
10,2012,230519.28
11,2012,239476.832727273
12,2012,245941.614848485
01,2013,216333.613030303
02,2013,214349.146363636
03,2013,249047.022121212
04,2013,232774.178484849
05,2013,254545.059090909
06,2013,275519.88
07,2013,298690.481818182
08,2013,248486.32030303
09,2013,233507.351515152
10,2013,208855.035151515
11,2013,224093.854242424
12,2013,239370.233030303
01,2014,243504.684848485
02,2014,229658.6
03,2014,253408.055454545
04,2014,241579.221818182
05,2014,282731.558181818
06,2014,267282.225757576
07,2014,263191.163030303
08,2014,233188.517575758
09,2014,194366.645454545
10,2014,206190.596363636
11,2014,205898.365454546
12,2014,207905.907272727
01,2015,217137.530606061
02,2015,214161.846363636
03,2015,267545.712121212
04,2015,225298.133333333
05,2015,275575.04
06,2015,288851.587575758
07,2015,280172.327272727
08,2015,245715.085454545
09,2015,217852.68
10,2015,217721.823636364
11,2015,231943.754242424
12,2015,220506.804848485
