Period,Sub_Period,forecast,forecast_high_95,forecast_high_80,forecast_low_80,forecast_low_95
2016,1,224572.418840183,243296.192605198,236815.236448431,212329.601231936,205848.645075168
2016,2,217804.486010234,238472.11818445,231318.324314351,204290.647706117,197136.853836017
2016,3,256027.490481795,282950.798165668,273631.695142731,238423.285820859,229104.182797922
2016,4,235821.755285326,262826.38285282,253479.132160132,218164.378410519,208817.127717832
2016,5,274921.202964987,308781.535232649,297061.284195952,252781.121734022,241060.870697325
2016,6,282769.676787548,319883.15880536,307036.878306508,258502.475268587,245656.194769736
2016,7,284629.090294273,324155.491223447,310474.014686093,258784.165902454,245102.689365099
2016,8,247683.457357504,283869.192382302,271344.03772388,224022.876991128,211497.722332706
2016,9,217101.486610795,250314.999508624,238818.635388627,195384.337832963,183887.973712966
2016,10,213341.8000033,247387.272364297,235602.937834452,191080.662172148,179296.327642303
2016,11,222802.07262738,259769.134371122,246973.535075142,198630.610179617,185835.010883637
2016,12,225662.609990224,264482.395454458,251045.503363884,200279.716616563,186842.824525989
